model,lookahead,threshold,accuracy,loss_count,loss_mean,transaction
XGBoost,3,0.02,0.4187866927592955,127,0.03523854046293926,362
XGBoost,3,0.03,0.41682974559686886,66,0.04305506568212239,243
XGBoost,3,0.04,0.410958904109589,57,0.0425245073843795,162
XGBoost,3,0.05,0.4598825831702544,21,0.06578254143061088,91
XGBoost,5,0.02,0.5420743639921722,105,0.0449004407373074,409
XGBoost,5,0.03,0.4892367906066536,64,0.03920920438086928,321
XGBoost,5,0.04,0.5048923679060665,43,0.04136989842088934,232
XGBoost,5,0.05,0.4931506849315068,42,0.04487601100434816,173
XGBoost,8,0.02,0.6509803921568628,86,0.038459098292723336,446
XGBoost,8,0.03,0.611764705882353,76,0.04543475885946738,390
XGBoost,8,0.04,0.5588235294117647,56,0.03681100069542122,304
XGBoost,8,0.05,0.6078431372549019,29,0.032413309583669045,245
XGBoost,10,0.02,0.6758349705304518,87,0.030510092760850236,458
XGBoost,10,0.03,0.6345776031434185,63,0.05193223472102428,417
XGBoost,10,0.04,0.6031434184675835,47,0.05143875559694474,318
XGBoost,10,0.05,0.6031434184675835,27,0.053648391137512956,283
XGBoost,12,0.02,0.7111984282907662,70,0.05324738359470989,464
XGBoost,12,0.03,0.6719056974459725,47,0.03931896186904477,432
XGBoost,12,0.04,0.6856581532416502,31,0.038844205082524536,347
XGBoost,12,0.05,0.6483300589390962,37,0.056866933121105724,307
LSTM,3,0.02,0.26129666011787817,267,0.029629306018014834,493
LSTM,3,0.03,0.20039292730844793,235,0.03055366398049743,479
LSTM,3,0.04,0.2966601178781925,74,0.033666078883576644,177
LSTM,3,0.05,0.3929273084479371,14,0.042972257694611014,24
LSTM,5,0.02,0.2933070866141732,263,0.036170599290405885,497
LSTM,5,0.03,0.2578740157480315,237,0.03805188616322214,494
LSTM,5,0.04,0.21456692913385828,258,0.03633508027687758,478
LSTM,5,0.05,0.3799212598425197,22,0.02679465977889255,47
LSTM,8,0.02,0.36023622047244097,238,0.04364699884038827,500
LSTM,8,0.03,0.2874015748031496,245,0.046592279641641934,490
LSTM,8,0.04,0.24015748031496062,239,0.04821221821266844,481
LSTM,8,0.05,0.20275590551181102,150,0.03998519513554364,329
LSTM,10,0.02,0.388560157790927,250,0.05406396792212877,506
LSTM,10,0.03,0.3431952662721893,235,0.05390096787446065,496
LSTM,10,0.04,0.28007889546351084,239,0.053711649233068516,493
LSTM,10,0.05,0.2465483234714004,228,0.05305081371087946,490
LSTM,12,0.02,0.4280078895463511,224,0.04967274004005363,501
LSTM,12,0.03,0.3155818540433925,247,0.06048330020082281,499
LSTM,12,0.04,0.3333333333333333,215,0.05059918530645862,481
LSTM,12,0.05,0.23668639053254437,219,0.05809515366197672,469
GRU,3,0.02,0.2691552062868369,262,0.028768808805995194,492
GRU,3,0.03,0.21611001964636542,229,0.03075297897654674,471
GRU,3,0.04,0.2691552062868369,94,0.03414992040466825,162
GRU,3,0.05,0.42829076620825146,9,0.010453289128705565,18
GRU,5,0.02,0.30708661417322836,249,0.03651299300749577,494
GRU,5,0.03,0.24803149606299213,244,0.03651363508169268,480
GRU,5,0.04,0.23031496062992127,245,0.03616780246532492,471
GRU,5,0.05,0.2618110236220472,135,0.03369353196286052,285
GRU,8,0.02,0.36023622047244097,232,0.04629239258541788,493
GRU,8,0.03,0.297244094488189,242,0.045989412759341534,493
GRU,8,0.04,0.25,239,0.04663115105924134,493
GRU,8,0.05,0.234251968503937,194,0.04391109579714743,452
GRU,10,0.02,0.41420118343195267,231,0.0535290546109379,498
GRU,10,0.03,0.3865877712031558,211,0.04616793226646301,493
GRU,10,0.04,0.28994082840236685,230,0.05342659257472381,491
GRU,10,0.05,0.23668639053254437,228,0.0519878536105061,479
GRU,12,0.02,0.39644970414201186,235,0.05753911084344777,493
GRU,12,0.03,0.32938856015779094,233,0.05945972096414366,491
GRU,12,0.04,0.28205128205128205,241,0.0570715481247252,486
GRU,12,0.05,0.252465483234714,214,0.05822079898432163,439
CNN,3,0.02,0.2888015717092338,229,0.030446853317084317,484
CNN,3,0.03,0.24361493123772102,118,0.02835003019633002,226
CNN,3,0.04,0.3182711198428291,34,0.03666417625153532,60
CNN,3,0.05,0.4302554027504912,8,0.021624001779465322,14
CNN,5,0.02,0.3346456692913386,226,0.0375323865463707,498
CNN,5,0.03,0.2677165354330709,238,0.036337946221996105,507
CNN,5,0.04,0.2263779527559055,178,0.033049911792003124,370
CNN,5,0.05,0.328740157480315,33,0.025703564669495912,74
CNN,8,0.02,0.3700787401574803,240,0.04566595314029454,508
CNN,8,0.03,0.3464566929133858,214,0.043191521551104166,491
CNN,8,0.04,0.2874015748031496,234,0.042515191525026724,508
CNN,8,0.05,0.22244094488188976,234,0.042515191525026724,504
CNN,10,0.02,0.4280078895463511,231,0.04882563411760354,507
CNN,10,0.03,0.3431952662721893,235,0.052184327855223395,503
CNN,10,0.04,0.28994082840236685,235,0.05360560922711118,497
CNN,10,0.05,0.27613412228796846,191,0.04763183706268534,437
CNN,12,0.02,0.4280078895463511,231,0.04971539868893838,503
CNN,12,0.03,0.34122287968441817,240,0.0533101654287097,505
CNN,12,0.04,0.33530571992110453,218,0.05072852855546285,501
CNN,12,0.05,0.29980276134122286,214,0.04972815649627753,488
