model,lookahead,threshold,accuracy,loss_count,loss_mean,transaction
XGBoost,3,0.02,0.5262946249050534,48,0.022854051833905792,128
XGBoost,3,0.03,0.5475626647602877,9,0.017423253838306698,35
XGBoost,3,0.04,0.5548903087440239,2,0.045141037818517776,14
XGBoost,3,0.05,0.555694562351995,1,0.03911548614746179,10
XGBoost,5,0.02,0.5201733613332737,79,0.022783508449966666,317
XGBoost,5,0.03,0.5586434922478888,15,0.0386229989885616,80
XGBoost,5,0.04,0.56722219739958,6,0.009613674683765276,48
XGBoost,5,0.05,0.5834859925829945,0,0.0,17
XGBoost,8,0.02,0.5177837354781054,134,0.02394121086187377,524
XGBoost,8,0.03,0.5610813226094727,24,0.02723461382758799,174
XGBoost,8,0.04,0.591331546023235,7,0.02240759673553946,84
XGBoost,8,0.05,0.5978999106344951,4,0.0163878559965461,61
XGBoost,10,0.02,0.5132490281067071,196,0.02618165431920694,786
XGBoost,10,0.03,0.5635193708387327,45,0.036881139215039924,266
XGBoost,10,0.04,0.6012332990750257,15,0.024849653271898677,135
XGBoost,10,0.05,0.6178113409893203,3,0.010951865239357325,85
XGBoost,12,0.02,0.5102551499173332,262,0.02763540571891176,1071
XGBoost,12,0.03,0.5707583001921445,65,0.02596204344143935,337
XGBoost,12,0.04,0.603020689038831,14,0.030440845240423252,154
XGBoost,12,0.05,0.6176326019929398,3,0.04717630173985735,88
LSTM,3,0.02,0.4995754948835962,46,0.013029128054239584,116
LSTM,3,0.03,0.5146342553286564,8,0.022556558274216813,21
LSTM,3,0.04,0.5200411099691675,0,0.0,0
LSTM,3,0.05,0.5166897537870325,0,0.0,0
LSTM,5,0.02,0.4785056752167307,132,0.015235716810914018,301
LSTM,5,0.03,0.49946375904906604,23,0.011328159289016895,42
LSTM,5,0.04,0.5110376262400572,7,0.00888678663176419,21
LSTM,5,0.05,0.5203771561354902,5,0.01876678326609065,14
LSTM,8,0.02,0.42617749575475916,981,0.011964658140748515,1983
LSTM,8,0.03,0.4895433014567879,99,0.016730886640638806,221
LSTM,8,0.04,0.5052730360175172,27,0.014898823505808076,64
LSTM,8,0.05,0.5125569756010367,27,0.014726378447722,53
LSTM,10,0.02,0.42923537560888414,538,0.014182872656434174,1234
LSTM,10,0.03,0.47236001251284804,259,0.018102441010199748,573
LSTM,10,0.04,0.5037761987755285,78,0.017542312134305075,162
LSTM,10,0.05,0.5099879340394154,84,0.016791287176585703,155
LSTM,12,0.02,0.41484560039326096,581,0.01686975472951344,1266
LSTM,12,0.03,0.45488671403673414,411,0.017290500921708633,838
LSTM,12,0.04,0.48599007909907493,267,0.020370404380318438,465
LSTM,12,0.05,0.5010054967153774,55,0.01649944597464798,117
GRU,3,0.02,0.5065910004915323,6,0.019582194147117774,18
GRU,3,0.03,0.5092720854372402,0,0.0,0
GRU,3,0.04,0.5151704723177979,0,0.0,1
GRU,3,0.05,0.5123553331248045,1,0.025095678034273355,1
GRU,5,0.02,0.4741710608633479,147,0.01514117711714854,309
GRU,5,0.03,0.5045580480829386,14,0.014373828408936598,33
GRU,5,0.04,0.5090267226740549,16,0.017094979496657454,37
GRU,5,0.05,0.5138975779783717,21,0.03610697409867969,36
GRU,8,0.02,0.45437483242470283,186,0.016174325456855182,417
GRU,8,0.03,0.48663866297256236,83,0.008538273512852843,199
GRU,8,0.04,0.5106354455268567,14,0.016281396084148813,37
GRU,8,0.05,0.49906157833586556,17,0.010801024889635833,50
GRU,10,0.02,0.4346874022433749,438,0.01854785765349402,775
GRU,10,0.03,0.4817893372659427,162,0.02461411025781735,348
GRU,10,0.04,0.5078428743799437,61,0.022351122742177366,93
GRU,10,0.05,0.5053849935201323,29,0.0202941257018726,62
GRU,12,0.02,0.4203423157706574,440,0.018753331192677063,1026
GRU,12,0.03,0.4655226348482817,482,0.017482834126328707,899
GRU,12,0.04,0.49631317871028285,96,0.01813836619182438,179
GRU,12,0.05,0.5093176028958305,37,0.020309943518108955,74
CNN,3,0.02,0.5029715358148265,0,0.0,2
CNN,3,0.03,0.5136065060994682,1,0.025403523829959643,3
CNN,3,0.04,0.518834621743599,0,0.0,1
CNN,3,0.05,0.5220966084275437,0,0.0,0
CNN,5,0.02,0.48154437393868976,24,0.014578183145184763,64
CNN,5,0.03,0.5172043971757977,2,0.002396854858442325,4
CNN,5,0.04,0.5121994816337474,3,0.02523973401424119,4
CNN,5,0.05,0.5182321923317544,2,0.01868020039229703,5
CNN,8,0.02,0.4642506032710698,80,0.023840964624394678,205
CNN,8,0.03,0.5020109035660023,5,0.025296195116475868,22
CNN,8,0.04,0.5105907587809456,1,0.040055820614803256,4
CNN,8,0.05,0.5165787827330414,0,0.0,3
CNN,10,0.02,0.4396478527059034,122,0.024235262821994733,299
CNN,10,0.03,0.4833534432676409,15,0.040785788499950355,31
CNN,10,0.04,0.5052509272914153,7,0.02321769704153698,31
CNN,10,0.05,0.5125798811279438,0,0.0,9
CNN,12,0.02,0.42512401126156324,116,0.029123772808332796,285
CNN,12,0.03,0.4681592706797158,120,0.02273734151147015,199
CNN,12,0.04,0.5032846226035662,17,0.023289500256228186,51
CNN,12,0.05,0.5094516691245475,3,0.006931897418856769,6
