model,lookahead,threshold,accuracy,loss_count,loss_mean,transaction
XGBoost,3,0.002,0.469284306231645,5605,0.0066217036509941905,12952
XGBoost,3,0.005,0.6909924769682584,475,0.012871489616948508,1188
XGBoost,3,0.01,0.8750452588807982,57,0.018488540121095187,179
XGBoost,3,0.015,0.9394134449048558,14,0.021716045295044333,56
XGBoost,5,0.002,0.47022851625362083,7432,0.007320819142002943,17814
XGBoost,5,0.005,0.6165111039588027,931,0.012710733837827887,2542
XGBoost,5,0.01,0.816382362407467,91,0.017407474874230607,349
XGBoost,5,0.015,0.8998632121017058,27,0.023087299260189622,134
XGBoost,8,0.002,0.49875281622143547,8214,0.008735240701300022,20940
XGBoost,8,0.005,0.5595027357579658,1772,0.013444745205423556,4966
XGBoost,8,0.01,0.7472240102993241,204,0.018307697826938453,748
XGBoost,8,0.015,0.8495735436112005,54,0.023228202032916437,244
XGBoost,10,0.002,0.5135385234359284,8424,0.009109441609115622,22010
XGBoost,10,0.005,0.5403339368336351,2291,0.014334629288195436,6534
XGBoost,10,0.01,0.7128545564272782,275,0.020588320010608525,1049
XGBoost,10,0.015,0.8210822772078052,54,0.021959318031935966,315
XGBoost,12,0.002,0.5331321665660833,8437,0.009725714799245397,22859
XGBoost,12,0.005,0.5302353651176825,3090,0.01410160225228828,8724
XGBoost,12,0.01,0.6861396097364716,341,0.021916247557011513,1289
XGBoost,12,0.015,0.7965399316032992,62,0.022549568072634116,375
LSTM,3,0.002,0.3592033796016898,9879,0.004465271491431053,20558
LSTM,3,0.005,0.7369141017903842,75,0.00485592524403899,165
LSTM,3,0.01,0.9170388251860793,19,0.0038719841482102503,29
LSTM,3,0.015,0.9647958157312412,0,0.0,0
LSTM,5,0.002,0.36839140580993,11093,0.005677008934380886,23346
LSTM,5,0.005,0.6120543976824656,1463,0.007532013163871575,2786
LSTM,5,0.01,0.8614709905850165,52,0.007584935482215681,102
LSTM,5,0.015,0.9338134706687052,31,0.0040029744778531514,53
LSTM,8,0.002,0.37609141753510644,12017,0.0070184135263126335,24493
LSTM,8,0.005,0.4970828471411902,3126,0.008326533871384205,6660
LSTM,8,0.01,0.7812336538848429,273,0.00851620318479937,594
LSTM,8,0.015,0.8898724500060355,61,0.007841366536964,120
LSTM,10,0.002,0.3982215426709049,11676,0.007928266205200513,24368
LSTM,10,0.005,0.38458133826902186,6097,0.008311005774431314,12882
LSTM,10,0.01,0.7405946968172856,271,0.008747326745632708,585
LSTM,10,0.015,0.8595742968655695,110,0.004846463745142426,229
LSTM,12,0.002,0.40584258812168034,11829,0.008542706140212636,24409
LSTM,12,0.005,0.3666505713825849,7978,0.009058273541082061,17073
LSTM,12,0.01,0.6962417511669081,548,0.008657530691433928,1149
LSTM,12,0.015,0.8348623853211009,91,0.008443655246907418,188
GRU,3,0.002,0.35369141017903843,10407,0.004330175734622277,21452
GRU,3,0.005,0.7357473345403339,289,0.007452382197759309,624
GRU,3,0.01,0.9176825588412795,7,0.0050912038410244964,13
GRU,3,0.015,0.9647958157312412,0,0.0,0
GRU,5,0.002,0.36412649875271585,11272,0.0055764161203384205,23395
GRU,5,0.005,0.6264585177436227,960,0.0077570187163352846,2168
GRU,5,0.01,0.8630401545022934,23,0.006239965131859748,63
GRU,5,0.015,0.9348595799468898,11,0.003774687319450744,24
GRU,8,0.002,0.37407958797730656,12182,0.006678131858275692,24613
GRU,8,0.005,0.5308815837122279,1675,0.008865285326155648,3476
GRU,8,0.01,0.7888383696133263,118,0.00602918004393864,248
GRU,8,0.015,0.8926890113869553,27,0.00892316919054281,53
GRU,10,0.002,0.4027280408803766,11688,0.007948148267601342,24590
GRU,10,0.005,0.43696937995413027,4570,0.008755192345236489,9692
GRU,10,0.01,0.7494467468716051,82,0.009365622168262075,165
GRU,10,0.015,0.8647648171246932,38,0.004328015843877835,81
GRU,12,0.002,0.40544020601963626,11969,0.008537954679700498,24647
GRU,12,0.005,0.3945356510542411,5470,0.009011840993785457,11682
GRU,12,0.01,0.7130613230323515,170,0.008406883087442259,296
GRU,12,0.015,0.8364719137292773,63,0.008116964491191524,113
CNN,3,0.002,0.3863206598269966,9350,0.00459391930645678,19353
CNN,3,0.005,0.7388050694025347,312,0.009616507506150408,587
CNN,3,0.01,0.9167571917119292,51,0.01377753857926907,121
CNN,3,0.015,0.9647153490243412,1,0.010210246608652137,2
CNN,5,0.002,0.36163193047396797,11598,0.0054719049168815495,23833
CNN,5,0.005,0.6441216705560473,399,0.011180046047689952,740
CNN,5,0.01,0.8638448539470508,28,0.012907460410912005,59
CNN,5,0.015,0.9356240444194094,7,0.014984952421819278,19
CNN,8,0.002,0.3701766386351748,12103,0.006898958707216543,23907
CNN,8,0.005,0.5482235545004627,1408,0.010497626062075056,2975
CNN,8,0.01,0.794109363054762,108,0.017069922391955435,190
CNN,8,0.015,0.8922464088842393,60,0.015613541996711593,115
CNN,10,0.002,0.39588782038385706,11993,0.007556533856556516,24838
CNN,10,0.005,0.4766024222427876,3066,0.009986969152832703,6755
CNN,10,0.01,0.7488431980042651,189,0.014007575026984813,401
CNN,10,0.015,0.8672997223675211,12,0.02412506932851341,20
CNN,12,0.002,0.40664735232576854,11920,0.008678930747828465,24747
CNN,12,0.005,0.4120795107033639,6255,0.009274420965958128,13187
CNN,12,0.01,0.7176484789956543,264,0.014059577806811555,560
CNN,12,0.015,0.8403347819089007,41,0.017400633541259182,101
