model,lookahead,threshold,accuracy,loss_count,loss_mean,transaction
XGBoost,3,0.02,0.5076252723311547,110,0.04266435273451851,330
XGBoost,3,0.03,0.514161220043573,72,0.041879932427476806,227
XGBoost,3,0.04,0.5838779956427015,34,0.05812616563747175,153
XGBoost,3,0.05,0.6535947712418301,28,0.06746383471546709,105
XGBoost,5,0.02,0.5969498910675382,100,0.04332880512666979,371
XGBoost,5,0.03,0.6187363834422658,76,0.04804645774201495,313
XGBoost,5,0.04,0.6339869281045751,44,0.0459321323019345,233
XGBoost,5,0.05,0.6928104575163399,29,0.0709426360171477,182
XGBoost,8,0.02,0.7183406113537117,68,0.04488063405659387,404
XGBoost,8,0.03,0.665938864628821,62,0.03875532124035437,368
XGBoost,8,0.04,0.6593886462882096,43,0.06084322683881617,298
XGBoost,8,0.05,0.6899563318777293,30,0.05122250489662617,263
XGBoost,10,0.02,0.7314410480349345,62,0.05307229924789418,419
XGBoost,10,0.03,0.75764192139738,41,0.06728152757396705,371
XGBoost,10,0.04,0.6986899563318777,37,0.046546730589330676,337
XGBoost,10,0.05,0.7270742358078602,25,0.054431210166675834,281
XGBoost,12,0.02,0.7855579868708972,48,0.04031680118497711,427
XGBoost,12,0.03,0.7855579868708972,50,0.050229536905951805,401
XGBoost,12,0.04,0.7483588621444202,29,0.05682384923018334,342
XGBoost,12,0.05,0.7133479212253829,31,0.06949748342862931,308
LSTM,3,0.02,0.32603938730853393,177,0.043474111475040635,353
LSTM,3,0.03,0.3522975929978118,158,0.04443387309669376,329
LSTM,3,0.04,0.3938730853391685,90,0.04677154530703172,178
LSTM,3,0.05,0.6433260393873085,2,0.12396410188457974,6
LSTM,5,0.02,0.33698030634573306,222,0.052630091233296615,424
LSTM,5,0.03,0.3413566739606127,189,0.050873372667937504,380
LSTM,5,0.04,0.3610503282275711,164,0.05583531345947633,321
LSTM,5,0.05,0.41575492341356673,76,0.048470860008578434,184
LSTM,8,0.02,0.4166666666666667,205,0.07068102816130918,444
LSTM,8,0.03,0.35964912280701755,209,0.07903005026227163,432
LSTM,8,0.04,0.35526315789473684,159,0.07019347332433278,360
LSTM,8,0.05,0.4100877192982456,107,0.07153003698957765,278
LSTM,10,0.02,0.42857142857142855,222,0.08807127043725606,439
LSTM,10,0.03,0.4175824175824176,198,0.0913254829149397,424
LSTM,10,0.04,0.37362637362637363,193,0.0981016945599465,377
LSTM,10,0.05,0.38461538461538464,177,0.08220744550518598,376
LSTM,12,0.02,0.4307692307692308,214,0.09572478634114977,436
LSTM,12,0.03,0.4065934065934066,195,0.09943227226302555,420
LSTM,12,0.04,0.41318681318681316,183,0.08759996694497435,401
LSTM,12,0.05,0.3934065934065934,167,0.099425836308763,377
GRU,3,0.02,0.3413566739606127,180,0.042795170552805115,375
GRU,3,0.03,0.34573304157549234,100,0.0453008609455281,194
GRU,3,0.04,0.5164113785557987,39,0.04668894267205818,76
GRU,3,0.05,0.6411378555798687,1,0.09937592169837721,2
GRU,5,0.02,0.350109409190372,206,0.05548600975944864,402
GRU,5,0.03,0.350109409190372,193,0.05654056841729162,389
GRU,5,0.04,0.3851203501094092,121,0.05110655309629198,263
GRU,5,0.05,0.38074398249452956,108,0.04945188678465609,232
GRU,8,0.02,0.40789473684210525,211,0.08055343734166719,440
GRU,8,0.03,0.40789473684210525,187,0.07088856303798217,429
GRU,8,0.04,0.4100877192982456,165,0.06267785555690074,398
GRU,8,0.05,0.40131578947368424,117,0.07541474140383142,291
GRU,10,0.02,0.4945054945054945,192,0.08321879300264512,444
GRU,10,0.03,0.44175824175824174,174,0.084644728852067,405
GRU,10,0.04,0.42857142857142855,170,0.0649203335130531,393
GRU,10,0.05,0.389010989010989,150,0.0871143749857207,344
GRU,12,0.02,0.43736263736263736,222,0.11385002277947524,451
GRU,12,0.03,0.46373626373626375,184,0.09059038264773793,421
GRU,12,0.04,0.4021978021978022,189,0.09884427946231823,412
GRU,12,0.05,0.44395604395604393,166,0.10020278870838759,392
CNN,3,0.02,0.350109409190372,190,0.045628786063640035,406
CNN,3,0.03,0.38293216630196936,67,0.04630991402341105,139
CNN,3,0.04,0.5120350109409191,30,0.0572967216425697,61
CNN,3,0.05,0.6367614879649891,4,0.09991701945854362,6
CNN,5,0.02,0.33698030634573306,207,0.062178146372499216,427
CNN,5,0.03,0.3085339168490153,192,0.06610054464010727,396
CNN,5,0.04,0.4201312910284464,66,0.043935457610748775,134
CNN,5,0.05,0.5142231947483589,27,0.05816037929173287,42
CNN,8,0.02,0.4451754385964912,202,0.08440705387872512,452
CNN,8,0.03,0.39473684210526316,191,0.07135173007397744,422
CNN,8,0.04,0.35964912280701755,174,0.07520889214757528,390
CNN,8,0.05,0.3618421052631579,118,0.06933371939687726,249
CNN,10,0.02,0.43956043956043955,225,0.08736210458048599,451
CNN,10,0.03,0.3230769230769231,256,0.09764979133280977,450
CNN,10,0.04,0.3956043956043956,185,0.0872432844482935,390
CNN,10,0.05,0.34945054945054943,175,0.08999068066626911,335
CNN,12,0.02,0.44175824175824174,215,0.10042313514517515,444
CNN,12,0.03,0.4065934065934066,230,0.10269771264615633,449
CNN,12,0.04,0.421978021978022,199,0.09106568732849653,435
CNN,12,0.05,0.33186813186813185,192,0.09562823715124358,368
