model,lookahead,threshold,accuracy,loss_count,loss_mean,transaction
XGBoost,3,0.02,0.4880174291938998,98,0.04540742753639833,338
XGBoost,3,0.03,0.4422657952069717,60,0.04277923078583711,237
XGBoost,3,0.04,0.46405228758169936,30,0.05029932516846437,163
XGBoost,3,0.05,0.46187363834422657,29,0.06274742291521962,107
XGBoost,5,0.02,0.5620915032679739,78,0.04241240151364767,379
XGBoost,5,0.03,0.5664488017429193,62,0.04081523489138749,292
XGBoost,5,0.04,0.5206971677559913,53,0.047992887098584104,243
XGBoost,5,0.05,0.5599128540305011,28,0.03536741546994062,199
XGBoost,8,0.02,0.6724890829694323,60,0.04383619610232748,410
XGBoost,8,0.03,0.6353711790393013,54,0.02880867220234408,365
XGBoost,8,0.04,0.6069868995633187,44,0.03421508883822115,312
XGBoost,8,0.05,0.6222707423580786,23,0.04934695787213871,252
XGBoost,10,0.02,0.7467248908296943,59,0.04063639836148078,425
XGBoost,10,0.03,0.7117903930131004,41,0.02826792864440118,371
XGBoost,10,0.04,0.665938864628821,29,0.04072727654444092,321
XGBoost,10,0.05,0.6397379912663755,20,0.07831609475748522,272
XGBoost,12,0.02,0.7352297592997812,56,0.03965368568675678,415
XGBoost,12,0.03,0.7330415754923414,34,0.03690778081235675,393
XGBoost,12,0.04,0.6586433260393874,39,0.040646829159635293,340
XGBoost,12,0.05,0.6455142231947484,30,0.044895383555887285,319
LSTM,3,0.02,0.26914660831509846,214,0.02986245747211814,403
LSTM,3,0.03,0.24726477024070023,158,0.031713369785161184,298
LSTM,3,0.04,0.31291028446389496,84,0.02837399617658855,177
LSTM,3,0.05,0.4310722100656455,37,0.02487708820362496,82
LSTM,5,0.02,0.3522975929978118,222,0.03804828916057975,446
LSTM,5,0.03,0.2713347921225383,194,0.04075024214449411,351
LSTM,5,0.04,0.2735229759299781,158,0.04271061853620126,307
LSTM,5,0.05,0.31072210065645517,97,0.03790475322405015,196
LSTM,8,0.02,0.36403508771929827,222,0.052069518364807915,456
LSTM,8,0.03,0.30043859649122806,223,0.0504547139281238,421
LSTM,8,0.04,0.25219298245614036,209,0.05262347595489922,389
LSTM,8,0.05,0.23464912280701755,173,0.050566703395117076,292
LSTM,10,0.02,0.3648351648351648,245,0.06044053918030781,455
LSTM,10,0.03,0.35824175824175825,226,0.05232156982288253,448
LSTM,10,0.04,0.2857142857142857,186,0.06097866405071578,331
LSTM,10,0.05,0.22197802197802197,225,0.05936833319274701,369
LSTM,12,0.02,0.27912087912087913,291,0.06456825687862756,455
LSTM,12,0.03,0.2945054945054945,262,0.05981447712159594,445
LSTM,12,0.04,0.24615384615384617,147,0.058224645457581575,269
LSTM,12,0.05,0.16923076923076924,152,0.06303810406135792,247
GRU,3,0.02,0.29540481400437635,212,0.030352609114300454,436
GRU,3,0.03,0.2647702407002188,131,0.032171987747719955,252
GRU,3,0.04,0.31947483588621445,51,0.035739656504136595,118
GRU,3,0.05,0.3851203501094092,9,0.036529560039634,30
GRU,5,0.02,0.33916849015317285,213,0.03950058622674716,423
GRU,5,0.03,0.29978118161925604,179,0.04386587175627509,365
GRU,5,0.04,0.2778993435448578,152,0.04273947106924766,299
GRU,5,0.05,0.29321663019693656,77,0.03797228047597106,158
GRU,8,0.02,0.33771929824561403,232,0.05357362547494736,450
GRU,8,0.03,0.2675438596491228,236,0.053055888135995474,431
GRU,8,0.04,0.21052631578947367,207,0.054317946060041936,343
GRU,8,0.05,0.26973684210526316,164,0.05361520010367408,310
GRU,10,0.02,0.3912087912087912,233,0.05871253165250308,455
GRU,10,0.03,0.3230769230769231,237,0.053708281908767294,450
GRU,10,0.04,0.2857142857142857,216,0.05852377381174372,380
GRU,10,0.05,0.2175824175824176,208,0.05560848682660508,343
GRU,12,0.02,0.36923076923076925,254,0.05816262246833389,455
GRU,12,0.03,0.31648351648351647,226,0.0575350139485974,407
GRU,12,0.04,0.23296703296703297,161,0.05987978428421883,276
GRU,12,0.05,0.17582417582417584,173,0.0632534136694154,276
CNN,3,0.02,0.3413566739606127,195,0.027958740609712835,432
CNN,3,0.03,0.2844638949671772,130,0.032179870061706514,283
CNN,3,0.04,0.3413566739606127,67,0.032574531711710195,140
CNN,3,0.05,0.4179431072210066,23,0.03780955004023399,48
CNN,5,0.02,0.33260393873085337,202,0.04071250990959943,415
CNN,5,0.03,0.3172866520787746,187,0.036009553822375015,383
CNN,5,0.04,0.3041575492341357,141,0.036043080691868956,299
CNN,5,0.05,0.29540481400437635,128,0.03941602514806221,251
CNN,8,0.02,0.29605263157894735,262,0.04912398929553439,453
CNN,8,0.03,0.2850877192982456,222,0.051080229281189084,429
CNN,8,0.04,0.26973684210526316,165,0.045111249030176326,338
CNN,8,0.05,0.2741228070175439,132,0.04283383199563056,279
CNN,10,0.02,0.36923076923076925,243,0.053531250800240265,455
CNN,10,0.03,0.3142857142857143,237,0.056596931138336415,452
CNN,10,0.04,0.2813186813186813,181,0.05128445260678925,346
CNN,10,0.05,0.24395604395604395,154,0.053324638862647836,269
CNN,12,0.02,0.33186813186813185,267,0.0575587161631332,455
CNN,12,0.03,0.3274725274725275,178,0.055001993619436904,351
CNN,12,0.04,0.2967032967032967,170,0.05525125115741971,336
CNN,12,0.05,0.2087912087912088,134,0.06386384207163276,212
